One Flew Over the Cuckoo's Nest;Ken Kesey
Diary of a Madman and Other Stories;Nikolai Gogol
Wide Sargasso Sea;Jean Rhys
Crime and Punishment;Fyodor Dostoyevsky
Spy In House Of Love;Anais Nin
Venus in Furs;Leopold von Sacher-Masoch
The Canterbury Tales;Geoffrey Chaucer
The Karamazov Brothers;Fyodor Dostoevsky
Heart of Darkness;Joseph Conrad
The Master and Margarita;Mikhail Bulgakov
A Room With a View;E. M. Forster
Don Juan;Lord George Gordon Byron
Cat on a Hot Tin Roof;Tennessee Williams
No Easy Walk to Freedom;Nelson Mandela
Of Mice and Men;John Steinbeck
Notre-Dame of Paris;Victor Hugo
Baby Doll;Tennessee Williams
On the Road;Jack Kerouac
The Odyssey;Homer
The Grapes of Wrath;John Steinbeck
Alice in Wonderland;Lewis Carroll
The Picture of Dorian Gray;Oscar Wilde
Against Nature;Joris-Karl Huysmans
The Time Machine;H. G. Wells
The Man in the High Castle;Philip K. Dick
The Invisible Man;H.G. Wells
A Clockwork Orange;Anthony Burgess
A Tale of Two Cities;Charles Dickens
In Cold Blood;Truman Capote
The Moonstone;Wilkie Collins
The Prince;Niccolo Machiavelli
Death of a Salesman;Arthur Miller
The Scarlet Letter;Nathaniel Hawthorne
Anna Karenina;Leo Tolstoy
From Russia with Love;Ian Fleming
War and Peace;Leo Tolstoy
Love in the Time of Cholera;Gabriel Garcia Marquez
One Hundred Years of Solitude;Gabriel Garcia Marquez
Little Women;Louisa May Alcott
Lord of the Flies;William Golding
Brave New World;Aldous Huxley
Moby Dick;Herman Melville
Don Quixote;Miguel de Cervantes
The Adventures of Tom Sawyer;Mark Twain
Oliver Twist;Charles Dickens
Charlotte's Web;E. B. White
20,000 Leagues Under the Sea;Jules Verne
The Catcher in the Rye;J. D. Salinger
The Epic of Gilgamesh;Anonymous
Gone with the Wind;Margaret Mitchell
Things Fall Apart;Chinua Achebe
The House on Mango Street;Sandra Cisneros
A Raisin in the Sun;Lorraine Hansberry
Their Eyes Were Watching God;Zora Neale Hurston
The Bluest Eye;Toni Morrison
Uncle Tom's Cabin;Harriet Beecher Stowe
Kite Runner;Khaled Hosseini
The Bleeding of the Stone;Ibrahim al-Koni
Cities of Salt;Abdulrahman Munif
The God of Small Things;Arundhati Roy
The Namesake;Jhumpa Lahiri
The Secret Garden;Frances Hodgson Burneet
So Long a Letter;Mariama Ba
The House of Spirits;Isabel Allende
Harry Potter and the Sorcerer's Stone;J. K. Rowling
The Lord of the Rings;J. R. R. Tolkien
Like Water for Chocolate;Laura Esquivel
